uid,iid,rat,tmp
944,272,3,887431647
945,1,4,888550871
945,10,2,888551853
945,13,4,888551922
945,14,4,888551853
945,19,3,888550871
945,25,4,888551648
945,50,5,888552084
945,100,5,888552084
945,111,4,888551853
945,127,5,888552084
945,237,4,888552017
945,242,5,888552084
945,251,5,888552084
945,255,4,888551341
945,257,4,888551062
945,258,3,888549961
945,269,4,888550774
945,272,5,888979061
945,273,4,888551647
945,274,3,888551497
945,275,5,888550939
945,276,4,888551552
945,277,4,888551174
945,278,3,888551647
945,279,4,888551745
945,280,3,888551441
945,281,3,888980240
945,282,4,888551922
945,283,5,888552084
945,284,4,888552017
945,285,5,888552084
945,286,4,888549960
945,287,3,888551235
945,288,3,888550252
945,289,3,888979353
945,290,3,888551441
945,291,3,888551647
945,292,4,888550774
945,293,4,888550939
945,294,1,888551648
945,295,4,888551164
945,296,3,888550871
945,297,4,888550871
945,298,3,888551441
945,299,4,888550774
945,300,4,888979197
945,301,4,888550631
945,302,5,888552084
945,303,4,888550774
945,304,4,888979197
945,305,3,888550065
945,306,4,888550774
945,307,3,888550066
945,308,3,888979945
945,309,1,888980029
945,310,4,888979061
945,311,5,888552084
945,312,3,888550631
945,313,5,888552084
945,314,1,888980085
945,315,1,888550774
945,316,5,888979693
946,11,4,892004520
946,50,5,892003526
946,210,3,892003374
946,258,5,892001374
946,260,4,892004275
946,264,3,892004275
946,271,4,892001690
946,288,4,892001445
946,294,5,892004409
946,300,5,892001445
946,301,5,892002353
946,303,5,892002352
946,324,5,892002353
946,327,5,892002352
946,328,3,892001537
946,329,5,892002352
946,354,5,892002353
946,356,3,892003459
946,357,4,892003525
946,358,2,892004275
946,359,5,892002352
946,360,5,892002352
946,361,5,892002353
946,362,5,892002352
